frameIndex;frameTime;pcm_RMSenergy;pcm_LOGenergy
0;0.000000;1.753196e-02;-8.087460e+00
1;0.010000;7.124472e-02;-5.283269e+00
2;0.020000;1.337064e-01;-4.024219e+00
3;0.030000;1.899604e-01;-3.321880e+00
4;0.040000;2.186428e-01;-3.040632e+00
5;0.050000;2.196858e-01;-3.031114e+00
6;0.060000;2.183103e-01;-3.043676e+00
7;0.070000;2.155883e-01;-3.068769e+00
8;0.080000;2.072029e-01;-3.148114e+00
9;0.090000;1.982945e-01;-3.236004e+00
10;0.100000;1.855240e-01;-3.369142e+00
11;0.110000;1.818251e-01;-3.409420e+00
12;0.120000;1.996211e-01;-3.222668e+00
13;0.130000;2.038114e-01;-3.181120e+00
14;0.140000;2.096675e-01;-3.124465e+00
15;0.150000;2.102153e-01;-3.119246e+00
16;0.160000;2.011659e-01;-3.207251e+00
17;0.170000;1.811991e-01;-3.416317e+00
18;0.180000;1.715815e-01;-3.525393e+00
19;0.190000;1.741338e-01;-3.495863e+00
20;0.200000;1.816133e-01;-3.411751e+00
21;0.210000;1.935341e-01;-3.284603e+00
22;0.220000;2.136946e-01;-3.086415e+00
23;0.230000;2.195905e-01;-3.031982e+00
24;0.240000;1.812699e-01;-3.415537e+00
25;0.250000;1.377253e-01;-3.964988e+00
26;0.260000;1.189960e-01;-4.257331e+00
27;0.270000;1.208510e-01;-4.226395e+00
28;0.280000;1.440912e-01;-3.874618e+00
29;0.290000;1.734544e-01;-3.503681e+00
30;0.300000;1.983019e-01;-3.235929e+00
31;0.310000;1.987024e-01;-3.231894e+00
32;0.320000;2.055665e-01;-3.163972e+00
33;0.330000;1.974868e-01;-3.244167e+00
34;0.340000;1.720304e-01;-3.520169e+00
35;0.350000;1.444977e-01;-3.868983e+00
36;0.360000;1.260992e-01;-4.141373e+00
37;0.370000;1.309939e-01;-4.065208e+00
38;0.380000;1.283127e-01;-4.106570e+00
39;0.390000;1.281495e-01;-4.109116e+00
40;0.400000;1.253389e-01;-4.153469e+00
41;0.410000;1.329384e-01;-4.035738e+00
42;0.420000;1.357284e-01;-3.994198e+00
43;0.430000;1.662394e-01;-3.588652e+00
44;0.440000;1.904970e-01;-3.316237e+00
45;0.450000;1.798271e-01;-3.431519e+00
46;0.460000;1.320136e-01;-4.049701e+00
47;0.470000;5.904007e-02;-5.659078e+00
48;0.480000;3.540221e-02;-6.681962e+00
49;0.490000;3.481560e-02;-6.715380e+00
50;0.500000;3.180816e-02;-6.896065e+00
51;0.510000;2.336193e-02;-7.513295e+00
52;0.520000;1.995133e-02;-7.828919e+00
53;0.530000;4.871717e-02;-6.043447e+00
54;0.540000;5.921787e-02;-5.653064e+00
55;0.550000;6.603696e-02;-5.435081e+00
56;0.560000;8.002647e-02;-5.050796e+00
57;0.570000;1.198612e-01;-4.242842e+00
58;0.580000;1.487540e-01;-3.810922e+00
59;0.590000;1.476181e-01;-3.826253e+00
60;0.600000;1.621954e-01;-3.637907e+00
61;0.610000;1.671953e-01;-3.577185e+00
62;0.620000;1.667350e-01;-3.582699e+00
63;0.630000;1.622255e-01;-3.637536e+00
64;0.640000;1.701201e-01;-3.542501e+00
65;0.650000;1.752094e-01;-3.483547e+00
66;0.660000;1.729661e-01;-3.509319e+00
67;0.670000;1.673287e-01;-3.575590e+00
68;0.680000;1.547649e-01;-3.731696e+00
69;0.690000;1.390143e-01;-3.946357e+00
70;0.700000;1.585103e-01;-3.683872e+00
71;0.710000;1.570785e-01;-3.702019e+00
72;0.720000;1.428045e-01;-3.892558e+00
73;0.730000;1.286904e-01;-4.100691e+00
74;0.740000;1.141996e-01;-4.339615e+00
75;0.750000;1.120724e-01;-4.377221e+00
76;0.760000;1.039079e-01;-4.528502e+00
77;0.770000;8.459476e-02;-4.939766e+00
78;0.780000;1.020819e-01;-4.563959e+00
79;0.790000;1.237790e-01;-4.178515e+00
80;0.800000;1.512852e-01;-3.777177e+00
81;0.810000;1.623163e-01;-3.636417e+00
82;0.820000;1.617063e-01;-3.643947e+00
83;0.830000;1.514879e-01;-3.774499e+00
84;0.840000;1.438258e-01;-3.878304e+00
85;0.850000;1.134838e-01;-4.352191e+00
86;0.860000;8.056112e-02;-5.037478e+00
